
Amateur
Bad anatomy
Bad art
Bad proportions
Blurred
Blurry
Body out of frame
CFG scale
Color
Cross
Deformed
Denoising strength
Descriptor
Disfigured
Duplicate
Extra arms
Extra fingers
Extra legs
Extra limbs
Face restoration CodeFormer
First pass size x
Frame
Fused fingers
Grainy
Long neck
Low rated
Missing arms
Missing legs
Model hash fef
Multiple bodies
Mutated
Mutated hands
Mutation
Naked
Negatives
Nude
Out of Frame
Out of frame
Painting
Phone
Photoshop
Poorly drawn face
Poorly drawn feet
Poorly drawn hands
Sampler DPM SDE Karras
Seed
Size x
Soft color palette
Tiling
Too many fingers
Ugly
Unknown
Unnatural anatomy
Watermark
Wedding
additional arms
additional face
additional head
additional legs
amateur
anatomy
anime
asian
bad
bad anatomy
bad art
bad framing
bad hands
bad proportions
bad quality EasyNegative
badanatomy
badproportions
beanie
beginner
black and white
blue hair
blur
blurry
body out of frame
bonnet
bucktoothed
bw
canvas frame
cap
cartoon
cgi
chibi
child
cloned face
clonedface
clones
close up
closed eyes
conjoined
covered arms
covered necklace area
cripple
cropped
cropped head
cross
cross eyed
cut off
d
d effects
d render
d render Steps
deformed
deformed iris
deformed pupils
dehydrated
disfigured
distorted eyes
distorted face
distorted pupils
double body
double face
double faces
double head
draft
drawing
duplicate
dyed hair
easynegative
extra
extra arms
extra fingers
extra foot
extra hands
extra leg
extra legs
extra limbs
extraarms
extralegs
extralimbs
eye
face out of frame
fat
flowers
fused body
fused feet
fused fingers
fused hands
fused heads
fused legs
fusedfingers
fuzzy
grainy
grayscale
gross proportions
grossproportions
group of people
gun
hands
hat
hyperrealistic
jewelry
jpeg artifacts
letters
limbs
logo
long hair
long neck
longneck
low contrast
low quality
lowres
lucid
makeup
malformed limbs
malformedlimbs
missing arm
missing arms
missing legs
missingarms
missinglegs
morbid
multiple faces
multiple heads
multiple people
mutated
mutated hands
mutatedhands
mutation
mutilated
ng deepnegative v t
no words
normal quality
nudity
old
out of frame
out of frame portrait
outofframe
overexposed
pigtails
poo art
poor
poorly drawn face
poorly drawn feet
poorly drawn hands
purple hair
realistic
render
robot eyes
semi
serious expression
siamese twin
signature
signatures
sketch
skinny
split images
stacked background
stacked body
strange anatomy
teeth
text
texts
things on face
tiling
too many fingers
toomanyfingers
tumblr
twins
two faces
two heads
ugly
underexposed
unproportioned
username
video game
violet dress
violet hair
volumetric
watermark
watermarked
wide shot
wierd colors
words
worst quality
wrist
writing
